index,open,high,low,close,volume,value
2023-04-01 09:00:00,37540000.0,37545000.0,37523000.0,37528000.0,7.57636789,284377695.38423
2023-04-01 09:01:00,37528000.0,37570000.0,37528000.0,37552000.0,3.9034536,146581183.85901
2023-04-01 09:02:00,37552000.0,37570000.0,37551000.0,37553000.0,4.19716384,157646806.6862
2023-04-01 09:03:00,37552000.0,37570000.0,37550000.0,37553000.0,18.43901294,692672791.49743
2023-04-01 09:04:00,37553000.0,37570000.0,37550000.0,37554000.0,26.63123628,1000507732.54049
2023-04-01 09:05:00,37570000.0,37574000.0,37554000.0,37570000.0,5.05005128,189701872.01515
2023-04-01 09:06:00,37570000.0,37574000.0,37554000.0,37560000.0,4.72797102,177592197.52815
2023-04-01 09:07:00,37570000.0,37570000.0,37556000.0,37570000.0,3.08323797,115820748.37012
2023-04-01 09:08:00,37569000.0,37577000.0,37559000.0,37568000.0,4.54184658,170625551.81902
2023-04-01 09:09:00,37562000.0,37580000.0,37556000.0,37577000.0,2.69574917,101260614.72941
2023-04-01 09:10:00,37577000.0,37593000.0,37569000.0,37590000.0,2.64833825,99534069.4389
2023-04-01 09:11:00,37587000.0,37593000.0,37586000.0,37593000.0,2.58045946,97000623.57043
2023-04-01 09:12:00,37593000.0,37610000.0,37590000.0,37607000.0,4.7320895,177922723.27947
2023-04-01 09:13:00,37607000.0,37615000.0,37600000.0,37600000.0,3.88453489,146072956.29431
2023-04-01 09:14:00,37600000.0,37622000.0,37600000.0,37622000.0,13.9366721,524259379.76423
2023-04-01 09:15:00,37622000.0,37622000.0,37620000.0,37622000.0,2.36608958,89015283.98241
2023-04-01 09:16:00,37622000.0,37648000.0,37621000.0,37648000.0,5.59700374,210617327.69849
2023-04-01 09:17:00,37643000.0,37650000.0,37640000.0,37650000.0,3.70382342,139427780.70792
2023-04-01 09:18:00,37650000.0,37650000.0,37648000.0,37650000.0,2.30874574,86921727.46578
2023-04-01 09:19:00,37649000.0,37650000.0,37632000.0,37649000.0,2.72664088,102655609.33216
